NAZWA,istnieje?,"możliwe że robią także wlasne projekty potrzebny cytat/dowód (✓/ ✗ / ?)","wykonują projekty na zlecenia jako firma (tzw software house)",WAW,WRO,POZ,ŁÓDŹ,KRA,GDA,SZCZ,KATO,BYDG,LUBL,KIEL,INNE,"Adres strony",KOMENTARZE
7n,✓," "," "," "," "," "," "," "," "," "," "," "," "," "," ",https://www.7n.com/,
"10 clouds",✓,,✓,✓,✓,✓,,,,,,,,,,https://10clouds.com,
Accenture,✓,✗,,,,,,,,,,,,,,https://www.accenture.com/,
Adecco,✓,,,,,,,,,,,,,,,https://www.adecco.pl/,
"Adore HR",✓,✗,,,,,,,,,,,,,,http://adorehr.pl/,
Alten,✓,,,,,,,,,,,,,,,http://www.altenpolska.pl/pl/,
Antal,✓,,,,,,,,,,,,,,,https://antal.pl/,
Aon-Hewitt,✓,,,,,,,,,,,,,,,http://www.aon.com/poland/,
Aterima,✓,,,,,,,,,,,,,,,https://www.aterima.pl/,
Atos,✓,,✓,,✓,,,,,,,,,,,https://atos.net/pl/polska,
Biritenet,✓,?,?,✓,✗,✓,✗,✗,✗,✗,✗,✗,✓,✓,,http://www.britenet.com.pl/,
"Coberon (chronos Consulting)",✓,,,,,,,,,,,,,,,http://www.chronosconsulting.com/,
Comarch,✓,"✓ system ERP",?,✓,✓,✓,✓,✓,✓,✗,✓,✗,✓,✓,,http://www.comarch.pl/kontakt/biura-w-polsce/,
"Competence Solutions",✓,,,,,,,,,,,,,,,http://competencesolutions.com/,
Connectis,✓,✗,,,,,,,,,,,,,,https://www.connectis.pl/,
CPLjobs,✓,✗,,,,,,,,,,,,,,https://cpljobs.com/pl/,
Crossover,✓,,,,,,,,,,,,,,,https://www.crossover.com/,
Cyclad,✓,?,?,,,,,,,,,,,,,https://www.cyclad.pl/,
Cybercom,✓,?,✓,✓,,,✓,,,,,,,,,https://www.cybercom.com/pl/Poland/,
Devire,✓,,,,,,,,,,,,,,,http://www.devire.pl/,
"Davis Nolan IT Recruitment",✓,,,,,,,,,,,,,,,https://www.davisnolan.com/,
"Diverse Consulting Group",✓,,,,,,,,,,,,,,,https://www.diversecg.pl/,
"Eagle Eye Staffing Solutions",✓,✗,,,,,,,,,,,,,,http://eagleeyestaffing.com/,
Econsulting,✓,,,,,,,,,,,,,,,http://econsulting.pl/,
"Edge One Solutions",✓,✓,✓,✓,,,,,,,,,✓,,,https://www.edge1s.com/,
"EricPol => Ericsson",✗,?,✓,,,,✓,,,,,,,,,-------------------------------------------------,
eWork,✓,✗,,,,,,,,,,,,,,https://www.eworkgroup.com/pl/,
Experis,✓,✗,,,,,,,,,,,,,,http://www.experis.pl/,
Gforce,✓,,,,,,,,,,,,,,,http://www.g-force.com.pl/pl/,
GFT,✓,✗,,✓,,✓,✓,,,,,,,,,http://www.gft.com/pl/pl/index/,
